date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved,month,monthly_cumulative_profit,monthly_drawdown
2025-12-17,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-18,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-19,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-20,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-21,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-22,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-23,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-24,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-25,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-26,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-27,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-28,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-29,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-30,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-31,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2026-01-01,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-02,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-03,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-04,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-05,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-06,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-07,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-08,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-09,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-10,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-11,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-12,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-13,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-14,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-15,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-16,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-17,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-18,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-19,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-20,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-21,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-22,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-23,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-24,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-25,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-26,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-27,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-28,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-29,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-30,0,0.0,0.0,37.74,0.0,100.0,2026-01,0.0,0.0
2026-01-31,2,3.61,5.5,43.24,0.0,96.39,2026-01,5.5,0.0
2026-02-01,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-02,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-03,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-04,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-05,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-06,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-07,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-08,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-09,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-10,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-11,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-12,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-13,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-14,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-15,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-16,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-17,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-18,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-19,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-20,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-21,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-22,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-23,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-24,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-25,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-26,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-27,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-02-28,0,0.0,0.0,43.24,0.0,100.0,2026-02,0.0,0.0
2026-03-01,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-02,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-03,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-04,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-05,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-06,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-07,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-08,0,0.0,0.0,43.24,0.0,100.0,2026-03,0.0,0.0
2026-03-09,1,0.62,1.9,45.14,0.0,99.38,2026-03,1.9,0.0
2026-03-10,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-11,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-12,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-13,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-14,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-15,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-16,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-17,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-18,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-19,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-20,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-21,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-22,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-23,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-24,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-25,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-26,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-27,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-28,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-29,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-30,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-03-31,0,0.0,0.0,45.14,0.0,100.0,2026-03,1.9,0.0
2026-04-01,0,0.0,0.0,45.14,0.0,100.0,2026-04,0.0,0.0
2026-04-02,0,0.0,0.0,45.14,0.0,100.0,2026-04,0.0,0.0
2026-04-03,0,0.0,0.0,45.14,0.0,100.0,2026-04,0.0,0.0
2026-04-04,1,0.79,-0.79,44.35,0.79,99.21,2026-04,-0.79,0.79
2026-04-05,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-06,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-07,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-08,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-09,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-10,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-11,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-12,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-13,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-14,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-15,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-16,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-17,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-18,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-19,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-20,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-21,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-22,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-23,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-24,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-25,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-26,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-27,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-28,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-29,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
2026-04-30,0,0.0,0.0,44.35,0.79,100.0,2026-04,-0.79,0.79
