date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2026-04-17,0,0.0,0.0,44.19,0.0,100.0
2026-04-18,0,0.0,0.0,44.19,0.0,100.0
2026-04-19,0,0.0,0.0,44.19,0.0,100.0
2026-04-20,0,0.0,0.0,44.19,0.0,100.0
2026-04-21,0,0.0,0.0,44.19,0.0,100.0
2026-04-22,0,0.0,0.0,44.19,0.0,100.0
2026-04-23,0,0.0,0.0,44.19,0.0,100.0
2026-04-24,0,0.0,0.0,44.19,0.0,100.0
2026-04-25,0,0.0,0.0,44.19,0.0,100.0
2026-04-26,0,0.0,0.0,44.19,0.0,100.0
2026-04-27,0,0.0,0.0,44.19,0.0,100.0
2026-04-28,0,0.0,0.0,44.19,0.0,100.0
2026-04-29,0,0.0,0.0,44.19,0.0,100.0
2026-04-30,0,0.0,0.0,44.19,0.0,100.0
